"","yearCE","month","lat","VSSI","HemiAssym","Duration"
"377",-1425,1,48,33.49,-1,0
"378",-1435,1,-37,0.26,-1,0
"379",-1438,1,-37,0.18,-1,0
"380",-1440,1,-37,0.18,-1,0
"381",-1470,1,48,1.22,-1,0
"382",-1478,1,48,1.54,-1,0
"383",-1501,1,-37,0.34,-1,0
"384",-1531,1,-37,1.26,-1,0
"385",-1536,1,-37,1.17,-1,0
"386",-1539,1,5,5.88,13.87,0
"387",-1553,1,5,17.64,0.4,0
"388",-1556,1,64,0.6,-1,24
"389",-1559,1,64,0.13,-1,36
"390",-1561,1,64,0.77,-1,24
"391",-1562,1,5,14.03,3.19,0
"392",-1574,1,-37,1.3,-1,0
"393",-1585,1,5,24.65,-1,0
"394",-1597,1,-37,0.87,-1,0
"395",-1603,1,-37,0.67,-1,0
"396",-1613,1,-37,0.77,-1,0
"397",-1626,1,-37,0.26,-1,0
"398",-1630,1,60,22.77,5.63,0
"399",-1641,1,-37,0.21,-1,0
"400",-1646,1,-37,0.21,-1,0
"401",-1653,1,-37,0.88,-1,0
"402",-1658,1,5,45.17,3.67,0
"403",-1662,1,5,2.62,3.64,0
"404",-1682,1,5,15.92,15.36,0
"405",-1691,1,-37,0.5,-1,0
"406",-1701,1,-37,0.36,-1,0
"407",-1713,1,-37,0.77,-1,0
"408",-1720,1,-37,3.06,-1,0
"409",-1737,1,48,3.11,-1,0
"410",-1741,1,48,2.74,-1,0
"411",-1748,1,48,1.97,-1,0
"412",-1757,1,48,1.94,-1,0
"413",-1762,1,64,0.34,-1,24
"414",-1764,1,64,0.46,-1,24
"415",-1766,1,64,0.67,-1,24
"416",-1769,1,64,0.3,-1,36
"417",-1771,1,64,0.55,-1,24
"418",-1773,1,64,0.69,-1,24
"419",-1775,1,64,0.49,-1,24
"420",-1777,1,64,0.41,-1,24
"421",-1779,1,64,1.28,-1,24
"422",-1782,1,-37,0.21,-1,0
"423",-1786,1,-37,0.31,-1,0
"424",-1789,1,-37,0.39,-1,0
"425",-1795,1,-37,0.2,-1,0
"426",-1797,1,-37,0.16,-1,0
"427",-1804,1,48,4.83,-1,0
"428",-1816,1,5,6.58,22.74,0
"429",-1819,1,-37,0.17,-1,0
"430",-1842,1,48,4.17,-1,0
"431",-1866,1,64,0.19,-1,24
"432",-1868,1,64,0.61,-1,24
"433",-1869,1,5,6.1,0.76,0
"434",-1872,1,64,0.17,-1,24
"435",-1874,1,64,0.39,-1,24
"436",-1876,1,64,0.19,-1,24
"437",-1878,1,64,0.33,-1,24
"438",-1882,1,5,18.72,0.82,0
"439",-1887,1,-37,0.64,-1,0
"440",-1893,1,48,4.12,-1,0
"441",-1902,1,48,1.53,-1,0
"442",-1927,1,5,12.3,0.45,0
"443",-1931,1,-37,0.36,-1,0
"444",-1939,1,48,13.76,-1,0
"445",-1945,1,-37,0.23,-1,0
"446",-1951,1,-37,0.74,-1,0
"447",-1970,1,48,1.4,-1,0
"448",-1977,1,5,13.99,1.1,0
"449",-1989,1,-37,0.91,-1,0
"450",-2022,1,-37,0.62,-1,0
"451",-2029,1,-37,0.42,-1,0
"452",-2041,1,-37,7.34,-1,0
"453",-2047,1,48,2.17,-1,0
"454",-2075,1,-37,0.33,-1,0
"455",-2084,1,5,7.6,18.42,0
"456",-2098,1,-37,0.83,-1,0
"457",-2110,1,48,3.68,-1,0
"458",-2136,1,48,1.94,-1,0
"459",-2143,1,-37,0.27,-1,0
"460",-2149,1,5,11.07,7.53,0
"461",-2151,1,-37,0.32,-1,0
"462",-2170,1,-37,0.47,-1,0
"463",-2182,1,-37,0.34,-1,0
"464",-2185,1,48,2.85,-1,0
"465",-2197,1,5,2.71,2.55,0
"466",-2202,1,48,2,-1,0
"467",-2217,1,48,1.85,-1,0
"468",-2236,1,48,1.39,-1,0
"469",-2243,1,48,6.16,-1,0
"470",-2253,1,48,4.55,-1,0
"471",-2259,1,48,12.1,-1,0
"472",-2268,1,48,1.16,-1,0
"473",-2275,1,-37,3.38,-1,0
"474",-2278,1,-37,0.17,-1,0
"475",-2282,1,48,1.39,-1,0
"476",-2289,1,48,3.96,-1,0
"477",-2294,1,48,1.1,-1,0
"478",-2301,1,-37,0.18,-1,0
"479",-2315,1,-37,0.53,-1,0
"480",-2333,1,5,4.22,1.01,0
"481",-2337,1,-37,1.05,-1,0
"482",-2350,1,-37,0.19,-1,0
"483",-2354,1,48,5.94,-1,0
